name,city,district,address,location,price,description,fid
大林苑精细中国菜,深圳市,罗湖区,广东省深圳市罗湖区大林苑,"114.138866,22.556440",¥727,"粿肉                                ,
脆皮婆参                                ,
豆酱焗红花桃                                ,
蚝仔烙                                ,
高汤萝卜                                ,
手撕盐焗鸡                                ,
卤水                                ,
芋泥白果                                ,
白灼螺片                                ,
焗蟹                                ,
炸百合",1
利苑酒家(宝安南路店),深圳市,罗湖区,广东省深圳市罗湖区利苑酒家,"114.136161,22.560521",¥392,"虾饺                                ,
杏仁茶                                ,
鲍汁凤爪                                ,
利苑小笼包                                ,
蚝皇北菇扣玉掌                                ,
梅酱牛仔骨                                ,
至尊千叶豆腐                                ,
蟹肉龙虾汤饺                                ,
油焗角笋                                ,
热情果布丁组合                                ,
斗门海花竹虾                                ,
樂山茄子                                ,
浓汤泡白菜仔                                ,
金蒜拍青瓜                                ,
龙虾                                ,
拿破仑腰果一口酥                                ,
饺子                                ,
小笼包                                ,
虾饺皇                                ,
雪山包                                ,
冰烧三层肉                                ,
蟹粉小笼                                ,
杨枝甘露                                ,
蝦餃皇                                ,
香烧港式乳鸭仔",2
香港新发烧腊茶餐厅(凤凰路店),深圳市,罗湖区,广东省深圳市罗湖区新发烧腊茶餐厅,"114.110032,22.539020",¥67,"烧鸭                                ,
火爆辣鸡香蒜披萨                                ,
菠萝油                                ,
腊味煲仔饭                                ,
雲吞麵食                                ,
鱼翅云吞捞面                                ,
蜜汁叉烧饭                                ,
叉鹅饭                                ,
公司三文治                                ,
海鲜焗饭                                ,
叉烧肠粉                                ,
港式丝袜奶茶                                ,
一粒柠檬茶                                ,
油鸡                                ,
烧腊                                ,
咖哩                                ,
烧腊套餐                                ,
原只烧鹅                                ,
极品八宝饭                                ,
奶油猪猪",3
瑞吉酒店-Elba欧尔巴意大利餐厅,深圳市,罗湖区,广东省深圳市罗湖区瑞吉酒店,"114.106433,22.543241",¥1031,"咖啡                                ,
海鲜汤                                ,
香煎鹅肝                                ,
扒龙虾                                ,
黑松露鹅肝配吐司                                ,
牛扒                                ,
主厨提拉米苏                                ,
烤伊比利亚猪柳",4
四季酒店·卓粤轩,深圳市,福田区,广东省深圳市福田区卓粤轩,"114.058135,22.532960",¥562,"套餐                                ,
鲍鱼鸡粒酥                                ,
猴头菇乌鸡汤                                ,
百花煎酿带子                                ,
葱香蟹粉老虎斑柳                                ,
卓粤脆皮鸡                                ,
蜜味香叉烧                                ,
鲍鱼酥                                ,
例汤                                ,
灌汤饺                                ,
葱香鹅肝和牛窝烧饭                                ,
蜜味火焰香叉烧                                ,
龙太子蒸饺",5
润园四季椰子鸡(华侨城创意园店),深圳市,南山区,广东省深圳市南山区润园四季椰子鸡,"113.992121,22.538298",¥121,"芦荟                                ,
原味椰子鸡                                ,
竹荪椰子鸡                                ,
炸腐竹                                ,
茼蒿                                ,
鲜腐竹                                ,
竹荪                                ,
焖鹅                                ,
马蹄                                ,
腐皮                                ,
麻辣牛展                                ,
肥牛煲仔饭                                ,
野生珍珠马蹄                                ,
超级腊味饭                                ,
特级煲仔饭                                ,
海南芋头                                ,
窝蛋肥牛煲仔饭                                ,
水鱼竹荪椰子鸡                                ,
西米南瓜露                                ,
墨鱼丸                                ,
冻豆腐                                ,
海南炒米粉                                ,
泰国天然椰青                                ,
牛肉丸                                ,
腊味煲饭饭",6
汕头八合里海记牛肉店(南园店),深圳市,罗湖区,广东省深圳市罗湖区八合里海记牛肉店,"114.126590,22.541571",¥92,"牛肉火锅                                ,
五花趾                                ,
吊龙伴                                ,
胸口油                                ,
吊龙膀                                ,
三花趾                                ,
匙肉                                ,
双层肉                                ,
手捶牛肉丸（生丸）                                ,
生手打牛筋丸                                ,
干炒牛河",7
四叶寿司(华侨城店),深圳市,福田区,广东省深圳市福田区四叶寿司,"114.031105,22.552505",¥1150,"杏仁豆腐                                ,
时日海胆                                ,
星鳗鱼                                ,
海螺刺身                                ,
烤秋葵                                ,
秋刀鱼刺身                                ,
爆特肥金枪鱼                                ,
天然牡丹虾                                ,
日本海胆炒饭                                ,
铁板和牛三筋",8
美极鲜食坊,深圳市,罗湖区,广东省深圳市罗湖区美极鲜食坊,"114.109589,22.546903",¥95,"猪肚煲鸡                                ,
铁板茄子                                ,
杨梅酒                                ,
猪油渣菜心                                ,
前菜的海帶                                ,
美味烧汁虾炒鸡杂                                ,
炒田螺                                ,
肥叉烧                                ,
陈村粉                                ,
酸笋炒牛肉                                ,
蜜汁排骨                                ,
美极鸭五件",9
同仁四季(南山LOFT店),深圳市,南山区,广东省深圳市南山区南山,"113.929250,22.514583",¥110,"煲仔饭                                ,
椰子鸡                                ,
原味椰子鸡                                ,
腊味煲仔饭                                ,
沙姜猪手                                ,
普宁炸豆腐                                ,
原只椰王                                ,
椰皇奶冻                                ,
有厨房尾气的包间                                ,
響鈴卷                                ,
娃娃菜                                ,
虾滑                                ,
炸腐竹                                ,
淮山药                                ,
莲藕片                                ,
烤豆皮                                ,
竹笙椰子鸡                                ,
小菜                                ,
经典果露水果茶",10
