name,degree,city,district,address,location,phone,price,description,hid
菲酒店(深圳北站店),舒适型,深圳市,龙华区,广东省深圳市龙华区深圳北站店,"114.014429,22.633690",电话0755-28091314  纠错,¥425,"菲酒店(深圳北站店)坐落于繁华热闹的北站商圈中心人民北路，附近两公里内有壹方天地中心广场、天虹商场、世纪春城恒温游泳馆、民治羽毛球馆、8号仓、深圳市龙华人民医院等地，步行约15分钟可到达4号线的上塘、红山地铁站，提供深圳北站早9点至晚6点之间的免费接送服务（详情请咨询商家）。
　　菲酒店定义为小众先锋，一个融合空间设计、艺术人文、生活美学，提供精选生活的高端设计酒店品牌。酒店设计上将艺术与生活美学融入客厅化的大堂、近百间有光合空间之美称的房间，以开放和融合氛围吸引、满足精睿一族对旅居美学的需求。
　　酒店一楼配备了专供客人使用的健身房，同楼层的自助洗衣房配备全自动洗衣机、烘干机与熨烫设备，均可全天候免费使用。遇见菲，遇见眼底的生活美学，住进菲，住进远方的诗和田野。菲酒店全体员工翘首期盼您的光临！",1
精选 禾尖S酒店(深圳科技园店）,高档型,深圳市,南山区,广东省深圳市南山区深圳科技园,"113.948888,22.542964",电话0755-89966066  纠错,¥510,"酒店位于南山区高新科技园南区“三诺智慧大厦”。东临科园路，西临后海大道，北临软件园基地，南临主干道滨海大道。周边贯穿地铁9号线深大南站、11号线后海站、2号线科苑站；距离滨海之窗公交站约107米。可直达深圳北高铁站、宝安国际机场；位于福田会展中心及前海自贸区中间；距离深圳湾口岸约3公里，轻松过境香港特别行政区；周边遍及甲级写字楼，距离腾讯、百度、芒果网等各大企业办公点约200米距离。
　　周边娱乐美食购物资源丰富，近海岸城购物中心、海雅缤纷城、深圳湾万象城、万象天地、人才公园；直达华侨城创意园、深圳大学、春茧体育馆；以及世界之窗、欢乐谷，锦绣中华等各大旅游景点约5公里。
　　酒店拥有国际东方与轻中式两个系列，让温馨与轻奢人文并存，设施一应配备，食肆（餐厅）荟萃美味开启一天的元气；闻说（休闲吧）可供会谈或阅读品茗，体验下午茶的休闲时光；万卷（书吧）让您荡漾在书海中感受文化与艺术的魅力；万里（健身房）充满力量感的爆发令商务更张弛有度；浣衣（洗衣房）为您的商务更加自信，酒店期待与您相遇。",2
美豪酒店(深圳罗湖大剧院万象城店),高档型,深圳市,罗湖区,广东省深圳市罗湖区美豪酒店,"114.111742,22.543544",电话0755-88829300 传真0755-22901174  纠错,,"美豪酒店(深圳罗湖大剧院万象城店)地处罗湖繁华之地，距大剧院地铁站D出口步行约5分钟、老街地铁站D出口步行约7分钟，与世界奢侈品牌汇聚地“万象城”齐肩，与京基100、地王大厦隔街相望。
　　酒店客房风格独特、舒适典雅，客房内均配置高品质多媒体娱乐设施及高速网络，轻松尽享惬意生活是您饮食、办公、交际、放松的优选之地。 酒店为每一位宾客提供亲情化管家服务、个性化增值服务、无限量矿泉水，为您提供一个轻松舒适个性的住宿环境，让您自在旅途，畅想商务。",3
深圳世纪花园酒店,高档型,深圳市,福田区,广东省深圳市福田区世纪华源酒店,"114.099449,22.556702",电话0755-86226188  纠错,¥559,"深圳世纪花园酒店位于沙河街道沙河东路。
　　融合生态的造景风格，悠然静谧的园林环境，温馨怡人的花园空间，细致入微的贴心服务，新世纪花园酒店，带您走进的是一隅都市中的桃花源，让您在繁华闹市中感受自然与人文的惬意之美，尽享花园式的住宿体验和美好舒适的时光。
　　一壶香茗，一杯咖啡，一本好书，帮您洗涤繁忙的疲惫和心灵的尘埃；明档可口的自助早餐，让您足不出户随时享用营养膳食；免费健身房，更是为您带来健康与格外的休息乐趣。来到这里，还您一个温馨的家，让您体验一场浪漫的邂逅，一次与众不同的旅行。",4
精选 邦拓美诺行政公寓(深圳前海世贸店),高档型,深圳市,南山区,广东省深圳市南山区深圳前海,"113.901965,22.517405",电话18025371979  纠错,¥719,邦拓美诺行政公寓(深圳前海世贸店)位于前海自贸区妈湾片区-月亮湾大道-佳兆业前海广场二期B座，临近妈湾港口、顺丰总部大厦、前海世贸中心、香江金融中心等，集休闲、娱乐、饮食等场所为一体，地理位置优越，交通和宾客居停十分便利。邦拓美诺行政公寓(深圳前海世贸店)设计简单时尚，融现代、简约建筑风格为一体.无论您是商务活动、还是休闲旅游，公寓都是您绝佳选择！,5
悦巢酒店(深圳北站店),经济型,深圳市,龙华区,广东省深圳市龙华区悦巢酒店,"114.029782,22.623205",电话+86-755-28109799  纠错,¥207,"悦巢酒店(深圳北站店)位于民治街道东泉新村，周围餐饮、娱乐等生活配套齐全，出行便利。
　　酒店提供优质床品、冷暖空调、百兆宽带、数字电视及大堂公区免费茶水糖果供宾客使用，专为追求品质的商务出行人士提供梦百合系列的优质床品，7*24小时前台接待和安保服务，提供全自助式的洗衣房供客出差在外更方便的洁衣；美的全自动洗衣机和挂烫机让您更加方便；免费提供威露士消毒洗衣液供客使用，只为让您用的放心。
　　针对追求品质和追求高效的客人，豪华房特提供数十项轻奢型增值产品，如猫王蓝牙音箱，keep瑜伽垫，迪卡侬健腹轮，屈臣氏蒸汽眼罩等。只为让您在商务出行之余享受城市中喧闹的那一点惬意。
　　同时，酒店提供免费接送深圳北站交通枢纽的商务车（详情请咨询商家），只为您的出行更加方便快捷！",6
深圳爱华精品酒店,经济型,深圳市,宝安区,广东省深圳市宝安区都市精品酒店,"113.862753,22.636168",电话0755-88374479  纠错,¥228,"酒店位于深圳市福田区深南中路，地处华强北商业圈，购物只有您想不到的，没有在这里买不到的。距离兴华宾馆西站台、科学馆地铁站、华联商场步行约7分钟。毗邻莲花山公园、地王观光，驾车大概10分钟可达。优越的地理位置使其成为一个令人向往的居停之所。
　　酒店以干净的环境、贴心的服务、优廉的价格，热忱欢迎您的到来。客房装饰简约，布置温馨。公共区域还有24小时保安轮流执勤，无线覆盖，给您一种回家的感觉。真诚为您服务每时每刻，这是这儿服务宗旨。开车的朋友们，我们这里停车位充足，随时欢迎您的下榻光临。
　　酒店竭诚为顾客服务。",7
迎商酒店(深圳罗湖东门店),高档型,深圳市,罗湖区,广东省深圳市罗湖区罗湖东门店,"114.120727,22.547727",电话0755-22272882 传真0755-22273375  纠错,,"迎商酒店(深圳罗湖东门店)位于深圳市罗湖区文锦中路，步行可至湖贝地铁站A出口、黄贝岭地铁站B出口，距离东门步行街、国贸金光华，海燕外贸服装批发城约8分钟车程。周围毗邻沃尔玛超市，前往罗湖火车站、宝安国际机场、会展中心及世界之窗、大、小梅沙交通都十分便利。京基100、地王大厦、凤凰印象、乐园路海鲜一条街、皇室派对KTV等近在咫尺。
　　酒店是迎商酒店集团旗下一家高雅温馨的精品商务酒店，定位于中档酒店市场的连锁品牌。产品注重设计参与，实现更具特色的服务体验。拥有客房共计百余间，所有区域WIFI全面覆盖，拥有商务中心、大型停车场、湘、粤等多种口味餐厅菜馆，实为商务洽谈、旅游观光、休闲娱乐的上佳之选。",8
梵希酒店公寓(深圳大学城店),舒适型,深圳市,南山区,广东省深圳市南山区梵希酒店公寓,"113.952330,22.540955",电话+86-15361479514  纠错,¥643,梵希酒店公寓(深圳大学城店)地处南山大学城片区核心位置，无缝对接长岭陂地铁站，一站即达深圳北站，毗邻科教基地（南方科技大学、深圳大学总医院、深圳大学西丽分校、中国科学院深圳先进技术研究院、清华大学研究生院、北京大学研究生院、哈尔滨工业大学研究生院）、南山智园、金骐智谷等区域；酒店倡导绿色、时尚、健康的生活理念，豪华典雅的外观，温馨舒适的环境，能满足商务、行政以及旅游等需求，房型丰富，传承品质及服务理念，凭借精良完善的设施和服务，为每位宾客奉献超群绝伦的品质体验！梵希酒店公寓(深圳大学城店)让您娱乐办公两不误。期待您的光临！,9
深圳南山亚朵轻居酒店,高档型,深圳市,南山区,广东省深圳市南山区南山,"113.926325,22.523781",电话+86-755-86618666-0  纠错,¥460,深圳南山亚朵轻居酒店位于南山区南新路1135号，地处海岸城购物中心的黄金地段，临近深圳湾口岸、深圳湾体育馆、蛇口码头；距离地铁11号线南山站步行约15分钟，附近更有多条公交线路可方便前往世界之窗、欢乐谷、红树林、华侨城等旅游景点。酒店是以阅读和属地摄影为主题的人文精品酒店，高品质的客房产品设施加细致温馨的服务，带给你“舒适、清新、温暖、朴实”的健康生活方式。所有客房均采用普兰特系列优质床品、全套高端BODYLABO体研究所草本精华洗浴用品，全WIFI覆盖，让你在入住期间也与世界保持同步。这里设有餐厅（相招）、洗熨烘干自助洗衣房（出尘）、运动空间（汗出）及宽敞的阅读会友书吧（竹居），为您提供一个自在、放松、休憩、充电、会友的居停空间，是商务出行及旅游的上佳选择。,10
