name,degree,city,district,address,location,phone,website,description,sid
金山温泉度假村,AAAA,江门市,恩平市,广东省江门市恩平市金山温泉度假村,"112.200115,22.106002",0750--7281188,www.jinshanhotspring.com,,1
立园,AAAA,江门市,开平市,广东省江门市开平市立园,"112.566015,22.349559",0750--2678888,www.kptour.com,,2
圭峰山,AAAA,江门市,新会区,广东省江门市新会区圭峰山,"113.033806,22.540264",0750--6173312,www.gdguifeng.com,,3
锦江温泉,AAAA,江门市,台山市,广东省江门市台山市温泉,"112.751176,22.182768",0750--7333333,www.jjwq.com,,4
古兜温泉,AAAA,江门市,新会区,广东省江门市新会区古兜温泉,"113.022589,22.151778",0750--6452222,www.gudouhotspring.com,,5
川岛旅游区,AAAA,江门市,台山市,广东省江门市台山市川岛,"112.692376,21.848204",0750--5381023,www.chuanshanislands.com,,6
康桥温泉,AAAA,江门市,台山市,广东省江门市台山市康桥温泉,"112.614869,22.151716",0750--5817333,www.tskqwq.com,,7
山泉湾温泉,AAAA,江门市,恩平市,广东省江门市恩平市山泉湾,"112.229350,22.327130",0750--7338888,www.sqwwq.com,,8
新会古典家具城,AAA,江门市,新会区,广东省江门市新会区古典家具城,"112.986289,22.513961",0750--6701103,www.gdjjc.cn,,9
鹤山龙潭山生态区,AA,江门市,鹤山市,广东省江门市鹤山市鹤山,"112.943040,22.760425",0750-8633433,,,10
